SKU,Main product,Name,Lu01 group,vis group,diff primary,diff sec,Produktfamilie,Category,Type
3105866,ARC,Arc 2x3W Grafitt,Arc,,,,Arc,Ceiling- and wall luminaire,Product
"3185149,055",ARC,Arc 2x3W Grafitt,Arc,,,,Arc,Ceiling- and wall luminaire,Accessories
3105867,ARC,Arc 2x3W Hvit,Arc,,,,Arc,Ceiling- and wall luminaire,Product
"3185305,624",ARC,Arc 2x3W Hvit,Arc,,,,Arc,Ceiling- and wall luminaire,Accessories
3105888,ARGOS,ARGOS 1 Mini Asym Down LED 14W 3000K Grafitt,,,,,Argos,Ceiling- and wall luminaire,Product
"3185462,194",ARGOS,ARGOS 1 Mini Asym Down LED 14W 3000K Grafitt,,,,,Argos,Ceiling- and wall luminaire,Accessories
3105889,ARGOS,ARGOS 1 Mini Asym Down LED 14W 3000K Sølv,,,,,Argos,Ceiling- and wall luminaire,Product
"3185618,764",ARGOS,ARGOS 1 Mini Asym Down LED 14W 3000K Sølv,,,,,Argos,Ceiling- and wall luminaire,Accessories
3109580,ARGOS,ARGOS 1 Mini Asym Down LED 14W 4000K Grafitt,,,,,Argos,Ceiling- and wall luminaire,Product
"3185775,334",ARGOS,ARGOS 1 Mini Asym Down LED 14W 4000K Grafitt,,,,,Argos,Ceiling- and wall luminaire,Accessories
3109581,ARGOS,ARGOS 1 Mini Asym Down LED 14W 4000K Sølv,,,,,Argos,Ceiling- and wall luminaire,Product
"3185931,904",ARGOS,ARGOS 1 Mini Asym Down LED 14W 4000K Sølv,,,,,Argos,Ceiling- and wall luminaire,Accessories
3105884,ARGOS,ARGOS 1 Mini Asym Down LED 5.2W 3000K Grafitt,,,,,Argos,Ceiling- and wall luminaire,Product
"3186088,474",ARGOS,ARGOS 1 Mini Asym Down LED 5.2W 3000K Grafitt,,,,,Argos,Ceiling- and wall luminaire,Accessories
3105885,ARGOS,ARGOS 1 Mini Asym Down LED 5.2W 3000K Sølv,,,,,Argos,Ceiling- and wall luminaire,Product
"3186245,044",ARGOS,ARGOS 1 Mini Asym Down LED 5.2W 3000K Sølv,,,,,Argos,Ceiling- and wall luminaire,Accessories
3105880,ARGOS,ARGOS 1 Mini Wide Down LED 5.2W 3000K Grafitt,,,,,Argos,Ceiling- and wall luminaire,Product
"3186401,614",ARGOS,ARGOS 1 Mini Wide Down LED 5.2W 3000K Grafitt,,,,,Argos,Ceiling- and wall luminaire,Accessories
3105881,ARGOS,ARGOS 1 Mini Wide Down LED 5.2W 3000K Sølv,,,,,Argos,Ceiling- and wall luminaire,Product
"3186558,183",ARGOS,ARGOS 1 Mini Wide Down LED 5.2W 3000K Sølv,,,,,Argos,Ceiling- and wall luminaire,Accessories
